dept_id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_frentes_saude,qt_frentes_educacao,qt_frentes_seguranca,qt_frentes_agro,qt_frentes_mulher,qt_frentes_meio_ambiente,qt_total_frentes
160640,Eros Biondini,PL,MG,21,11,9,9,7,11,451
204522,Marco Bertaiolli,PSD,SP,13,4,5,4,5,9,332
157130,Túlio Gadêlha,REDE,PE,2,2,0,0,1,4,69
178842,Jhc,PSB,AL,10,4,4,2,0,4,169
74305,Roberto Pessoa,PSDB,CE,5,4,3,4,1,6,150
160667,Guilherme Mussi,PP,SP,5,5,2,4,1,1,114
160534,Lauriete,PSC,ES,3,4,0,0,0,1,63
204550,Júnior Mano,PL,CE,4,2,3,2,0,4,109
204563,Josimar Maranhãozinho,PL,MA,8,2,0,2,0,1,96
204414,Aroldo Martins,REPUBLICANOS,PR,13,8,6,6,2,6,240
160541,Arthur Lira,PP,AL,4,2,2,3,0,4,70
74574,Paulo Magalhães,PSD,BA,3,0,1,0,0,0,85
204478,Vinicius Farah,UNIÃO,RJ,7,2,5,4,1,3,151
160559,Alceu Moreira,MDB,RS,16,6,6,6,5,7,319
72442,Felipe Carreras,PSB,PE,15,7,7,4,4,9,284
109429,Benes Leocádio,UNIÃO,RN,8,2,5,7,1,7,209
74212,Aníbal Gomes,UNIÃO,CE,1,1,1,1,0,1,35
73692,Osmar Terra,MDB,RS,1,0,0,0,0,1,17
74262,Carlos Sampaio,PSDB,SP,0,0,1,0,0,1,13
90842,Santini,PTB,RS,10,8,6,2,2,6,199
204400,Aline Sleutjes,PROS,PR,9,6,6,4,1,7,196
178939,Clarissa Garotinho,UNIÃO,RJ,4,4,1,0,0,4,106
178962,Carlos Gomes,REPUBLICANOS,RS,13,8,4,7,5,10,336
204559,Zé Neto,PT,BA,12,6,1,4,1,7,277
143084,Tiago Dimas,PODE,TO,3,2,5,4,0,4,158
160532,Eli Corrêa Filho,UNIÃO,SP,9,5,3,3,0,6,174
178994,Dulce Miranda,MDB,TO,2,1,0,0,1,0,56
160508,Afonso Florence,PT,BA,5,4,1,4,0,6,118
204416,Sanderson,PL,RS,17,8,12,5,2,7,309
134812,Edmilson Rodrigues,PSOL,PA,13,7,6,3,1,7,251
204562,Edilázio Júnior,PSD,MA,9,2,5,4,1,6,194
204532,Vinicius Poit,NOVO,SP,5,4,2,1,0,1,81
204387,Sargento Fahur,PSD,PR,5,3,5,1,1,5,163
204552,Eduardo Braide,PODE,MA,10,3,5,3,1,5,165
204358,Beto Pereira,PSDB,MS,3,2,0,1,0,1,51
171623,Fabio Reis,PSD,SE,9,7,6,7,2,5,224
204468,Joenia Wapichana,REDE,RR,3,4,0,1,1,4,88
204408,Gustinho Ribeiro,REPUBLICANOS,SE,3,2,0,2,1,2,84
178925,Rejane Dias,PT,PI,1,3,1,1,0,2,75
73433,Arlindo Chinaglia,PT,SP,5,5,2,1,0,5,125
160976,Tiririca,PL,SP,5,3,3,2,0,2,122
160669,Genecias Noronha,PL,CE,6,4,3,1,0,2,109
160645,Luiz Carlos,PSDB,AP,5,2,3,2,1,1,96
141421,Eduardo Da Fonte,PP,PE,17,8,4,6,2,8,300
212504,Fernando Borja,AVANTE,MG,0,0,0,0,0,0,3
128760,Paulo Marinho Jr,PL,MA,0,0,0,0,0,0,2
178844,Pedro Vilela,PSDB,AL,0,0,0,0,0,0,9
178982,Luiz Lauro Filho,PSDB,SP,0,0,0,0,0,0,4
204421,Edna Henrique,REPUBLICANOS,PB,1,3,3,0,1,3,87
178929,Diego Garcia,REPUBLICANOS,PR,12,7,7,6,2,7,286
195866,Vaidon Oliveira,UNIÃO,CE,10,6,4,2,2,4,204
160599,Dimas Fabiano,PP,MG,1,1,3,1,1,0,65
178951,Rafael Motta,PSB,RN,13,7,6,4,2,7,261
139285,Lídice Da Mata,PSB,BA,13,10,4,3,5,9,338
204514,Coronel Tadeu,PL,SP,5,4,4,2,0,3,169
178952,Walter Alves,MDB,RN,10,4,6,6,1,7,225
141555,Vinicius Carvalho,REPUBLICANOS,SP,9,3,4,4,2,8,232
207309,Enéias Reis,UNIÃO,MG,3,2,2,2,0,0,82
204525,Rosana Valle,PL,SP,7,4,6,5,6,7,262
160587,Fábio Trad,PSD,MS,12,8,7,5,2,7,284
204517,Zé Vitor,PL,MG,14,9,3,9,2,11,317
204533,Idilvan Alencar,PDT,CE,1,3,0,0,0,0,41
204531,Guilherme Derrite,PL,SP,3,4,5,2,1,5,154
73482,Henrique Fontana,PT,RS,1,5,1,0,0,5,100
178981,Herculano Passos,REPUBLICANOS,SP,10,7,3,2,1,6,250
178975,Baleia Rossi,MDB,SP,4,2,2,2,0,2,98
