dept_id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_frentes,qt_coordenacoes,qt_presidencias,ranking_frentes
141552,Valtenir Pereira,MDB,MT,147,0,0,457
178879,Lucas Vergilio,SOLIDARIEDADE,GO,146,0,0,458
209189,Joseildo Ramos,PT,BA,146,2,0,459
204398,Felipe Francischini,UNIÃO,PR,146,0,0,460
141516,Paulo Abi-ackel,PSDB,MG,144,0,0,461
204537,Enrico Misasi,MDB,SP,144,1,0,462
204496,Celso Sabino,PDT,PA,144,0,0,463
204418,Luizão Goulart,SOLIDARIEDADE,PR,144,0,0,464
204429,João H. Campos,PSB,PE,144,1,0,465
204455,Luiz Lima,NOVO,RJ,143,0,0,466
220572,Marussa Boldrin,REPUBLICANOS,GO,143,1,0,467
220645,Erika Hilton,PSOL,SP,142,1,0,468
74200,Gastão Vieira,PROS,MA,141,0,0,469
204409,Daniel Trzeciak,PSDB,RS,141,0,0,470
204462,Chris Tonietto,PL,RJ,141,3,0,471
178964,Heitor Schuch,PSD,RS,141,1,0,472
204433,Marcelo Calero,PSD,RJ,140,0,0,473
204548,Heitor Freire,UNIÃO,CE,140,0,0,474
220553,Denise Pessôa,PT,RS,140,0,0,475
220715,Amom Mandel,REPUBLICANOS,AM,138,0,0,476
220575,Sonize Barbosa,PL,AP,138,0,0,477
160635,Ruy Carneiro,PODE,PB,137,0,0,478
