part_sg_partido,desp_tx_segmento_despesa,desp_tx_tipo_despesa,data_nr_ano,data_tx_ano_mes,part_qt_responsaveis,part_qt_deputados,part_qt_documentos,part_qt_fornecedores,part_vl_total_documento,part_vl_total_glosa,part_vl_total_liquido,part_vl_medio_liquido,part_pc_participacao_segmento
AVANTE,Publicidade,Divulgação Da Atividade Parlamentar.,2022,2022-05,5,5,21,21,110593.15,0.00,110593.15,5266.340476,39.28
AVANTE,Locomoção,Locação Ou Fretamento De Veículos Automotores,2022,2022-05,1,1,3,2,14605.00,0.00,14605.00,4868.333333,5.19
AVANTE,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",2022,2022-05,3,3,13,10,2303.00,0.00,2303.00,177.153846,0.82
AVANTE,Viagens,Passagem Aérea - Sigepa,2022,2022-05,4,4,52,0,64581.44,0.00,64581.44,1094.600678,22.94
AVANTE,Viagens,Passagem Aérea - Reembolso,2022,2022-05,1,1,1,1,2889.23,0.00,2889.23,2889.230000,1.03
AVANTE,Outros,"Serviço De Táxi, Pedágio E Estacionamento",2022,2022-05,1,1,38,6,559.27,0.20,559.07,14.712368,0.20
AVANTE,Comunicação,Telefonia,2022,2022-05,3,3,13,5,4608.19,557.69,4050.50,270.033333,1.44
AVANTE,Viagens,Passagem Aérea - Rpa,2022,2022-05,2,2,4,2,1326.10,0.00,1326.10,331.525000,0.47
AVANTE,Outros,"Passagens Terrestres, Marítimas Ou Fluviais",2022,2022-05,1,1,8,4,1533.07,0.00,1533.07,191.633750,0.54
AVANTE,Serviços profissionais,"Consultorias, Pesquisas E Trabalhos Técnicos.",2022,2022-05,2,2,2,2,25000.00,0.00,25000.00,12500.000000,8.88
AVANTE,Viagens,Passagem Aérea - Rpa,2022,2022-06,2,2,6,2,655.67,0.00,655.67,109.278333,0.30
AVANTE,Publicidade,Divulgação Da Atividade Parlamentar.,2022,2022-06,3,3,4,4,76984.62,0.00,76984.62,19246.155000,35.77
AVANTE,Outros,Serviços Postais,2022,2022-06,5,5,1,1,940.20,0.00,940.20,85.472727,0.44
AVANTE,Outros,"Serviço De Táxi, Pedágio E Estacionamento",2022,2022-06,1,1,10,5,440.56,0.00,440.56,44.056000,0.20
AVANTE,Locomoção,Locação Ou Fretamento De Veículos Automotores,2022,2022-06,3,3,6,3,20455.00,0.00,20455.00,3409.166667,9.51
AVANTE,Viagens,Passagem Aérea - Sigepa,2022,2022-06,6,6,39,0,52720.39,0.00,52720.39,1121.710426,24.50
AVANTE,Combustível,Combustíveis E Lubrificantes.,2022,2022-06,6,6,76,62,27673.15,17.89,27655.26,363.885000,12.85
AVANTE,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,2022,2022-06,3,3,10,9,13757.93,105.90,13652.03,1365.203000,6.34
AVANTE,Comunicação,Telefonia,2022,2022-06,3,3,10,3,3946.49,550.59,3395.90,282.991667,1.58
AVANTE,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",2022,2022-06,2,2,12,10,3300.77,0.00,3300.77,275.064167,1.53
AVANTE,Serviços profissionais,"Consultorias, Pesquisas E Trabalhos Técnicos.",2022,2022-06,1,1,1,1,15000.00,0.00,15000.00,15000.000000,6.97
AVANTE,Viagens,Passagem Aérea - Rpa,2022,2022-07,2,2,11,2,3495.99,0.00,3495.99,317.817273,2.76
AVANTE,Outros,"Serviço De Táxi, Pedágio E Estacionamento",2022,2022-07,1,1,6,1,388.72,0.00,388.72,64.786667,0.31
AVANTE,Outros,Serviços Postais,2022,2022-07,4,4,1,1,509.03,0.00,509.03,56.558889,0.40
AVANTE,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,2022,2022-07,3,3,15,13,22169.43,1733.17,20436.26,1362.417333,16.15
AVANTE,Outros,"Passagens Terrestres, Marítimas Ou Fluviais",2022,2022-07,1,1,2,2,359.98,0.00,359.98,179.990000,0.28
AVANTE,Viagens,Passagem Aérea - Sigepa,2022,2022-07,6,6,32,0,43869.36,0.00,43869.36,1044.508571,34.66
AVANTE,Serviços profissionais,"Consultorias, Pesquisas E Trabalhos Técnicos.",2022,2022-07,1,1,1,1,15000.00,0.00,15000.00,15000.000000,11.85
AVANTE,Locomoção,Locação Ou Fretamento De Veículos Automotores,2022,2022-07,2,2,3,3,14455.00,0.00,14455.00,4818.333333,11.42
AVANTE,Combustível,Combustíveis E Lubrificantes.,2022,2022-07,5,5,67,48,21630.84,0.18,21630.66,322.845672,17.09
AVANTE,Comunicação,Telefonia,2022,2022-07,4,4,14,4,5643.54,978.28,4665.26,291.578750,3.69
AVANTE,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",2022,2022-07,2,2,4,4,1759.27,0.00,1759.27,439.817500,1.39
AVANTE,Viagens,Passagem Aérea - Sigepa,2022,2022-08,3,3,12,0,14345.83,0.00,14345.83,956.388667,15.82
AVANTE,Viagens,Passagem Aérea - Rpa,2022,2022-08,1,1,1,1,1008.33,0.00,1008.33,1008.330000,1.11
AVANTE,Locomoção,Locação Ou Fretamento De Veículos Automotores,2022,2022-08,1,1,2,1,9200.00,0.00,9200.00,4600.000000,10.14
AVANTE,Outros,"Serviço De Táxi, Pedágio E Estacionamento",2022,2022-08,1,1,6,1,126.08,0.00,126.08,21.013333,0.14
AVANTE,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,2022,2022-08,4,4,14,11,22492.46,0.00,22492.46,1606.604286,24.80
AVANTE,Viagens,Passagem Aérea - Reembolso,2022,2022-08,1,1,2,1,5067.56,0.00,5067.56,2533.780000,5.59
AVANTE,Outros,Serviços Postais,2022,2022-08,5,5,1,1,833.24,0.00,833.24,75.749091,0.92
AVANTE,Combustível,Combustíveis E Lubrificantes.,2022,2022-08,5,5,65,45,15259.78,27.48,15232.30,234.343077,16.79
AVANTE,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",2022,2022-08,2,2,2,2,751.55,0.00,751.55,375.775000,0.83
AVANTE,Serviços profissionais,"Consultorias, Pesquisas E Trabalhos Técnicos.",2022,2022-08,1,1,1,1,15000.00,0.00,15000.00,15000.000000,16.54
AVANTE,Comunicação,Telefonia,2022,2022-08,4,4,10,3,3605.72,410.57,3195.15,266.262500,3.52
AVANTE,Outros,Serviço De Segurança Prestado Por Empresa Especializada.,2022,2022-08,1,1,1,1,3445.00,0.00,3445.00,3445.000000,3.80
AVANTE,Outros,Serviço De Segurança Prestado Por Empresa Especializada.,2022,2022-09,1,1,1,1,2050.00,0.00,2050.00,2050.000000,2.28
AVANTE,Viagens,Passagem Aérea - Sigepa,2022,2022-09,1,1,3,0,4626.77,0.00,4626.77,1542.256667,5.15
AVANTE,Serviços profissionais,"Consultorias, Pesquisas E Trabalhos Técnicos.",2022,2022-09,1,1,1,1,15000.00,0.00,15000.00,15000.000000,16.70
AVANTE,Outros,Serviços Postais,2022,2022-09,4,4,1,1,269.14,0.00,269.14,33.642500,0.30
