id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_documentos,qt_documentos_comprovados,qt_glosas,qt_restituicoes,pc_documentacao
220527,Jack Rocha,PT,ES,1199,1009,52,0,84.15
220703,Neto Carletto,AVANTE,BA,549,422,8,0,76.87
226708,Allan Garcês,PP,MA,752,599,25,0,79.65
204418,Luizão Goulart,SOLIDARIEDADE,PR,641,520,39,0,81.12
76874,Marcelo Freixo,PSB,RJ,279,154,7,0,55.2
178895,Misael Varella,PSD,MG,695,538,56,0,77.41
178987,Orlando Silva,PCDOB,SP,808,420,77,0,51.98
204396,Vermelho,PL,PR,1540,1067,104,0,69.29
220583,Delegado Fabio Costa,PP,AL,740,632,9,0,85.41
98148,Cobalchini,MDB,SC,2229,1852,195,0,83.09
100689,Hildo Do Candango,REPUBLICANOS,GO,23,22,0,0,95.65
228042,Naumi Amorim,PSD,CE,15,7,0,0,46.67
229432,Luiz Fernando Vampiro,MDB,SC,829,773,79,0,93.24
220008,Eliza Virgínia,PP,PB,286,235,20,0,82.17
229585,Elisangela Araujo,PT,BA,255,226,8,0,88.63
220636,Luiz Marinho,PT,SP,1,0,0,0,0.0
141533,Rodrigo Rollemberg,PSB,DF,208,207,8,0,99.52
233592,Paulo Lemos,PT,AP,84,70,5,0,83.33
221149,Elói Pietá,PT,SP,88,85,0,0,96.59
211498,Renato Santana,PSD,DF,1,0,0,0,0.0
216198,Norma Pereira,PSDB,SC,24,20,1,0,83.33
151965,Maia Filho,PP,PI,21,15,1,0,71.43
204529,Policial Katia Sastre,PL,SP,853,699,37,0,81.95
204363,Osires Damaso,PSC,TO,197,155,5,0,78.68
178929,Diego Garcia,UNIÃO,PR,4823,4387,242,4,90.96
178861,Ronaldo Carletto,PP,BA,179,104,2,0,58.1
160640,Eros Biondini,PL,MG,1762,1225,62,0,69.52
220628,Mauricio Do Vôlei,PL,MG,1136,1043,3,0,91.81
220533,Prof. Reginaldo Veras,PV,DF,806,801,126,0,99.38
220545,Filipe Martins,PL,TO,927,853,24,0,92.02
